Modules	Rsq	Pvalue	FDR	Tissue
MEblack	0.00160934624208604	0.434927579189815	0.864961534418581	Caudate
MEblue	0.000318976685403923	0.728220263647991	0.88654038197394	Caudate
MEbrown	0.00552718516792242	0.147506847984394	0.864961534418581	Caudate
MEcyan	0.000507059867001884	0.66128119912825	0.88654038197394	Caudate
MEdarkgreen	0.00258427154672595	0.322343524391798	0.864961534418581	Caudate
MEdarkgrey	0.000123176452897876	0.829043331057723	0.943394135341547	Caudate
MEdarkorange	0.0030797772898055	0.279916372915574	0.864961534418581	Caudate
MEdarkred	0.000896610710071745	0.560106582984498	0.864961534418581	Caudate
MEdarkturquoise	0.00108491300013383	0.521531859355526	0.864961534418581	Caudate
MEgreen	7.68887689061621e-05	0.864540179591947	0.9489910267334	Caudate
MEgreenyellow	2.54753509703807e-05	0.921776265694735	0.950581773997696	Caudate
MEgrey	0.00316197600598613	0.27358055688142	0.864961534418581	Caudate
MEgrey60	0.00109892866160745	0.518852531897344	0.864961534418581	Caudate
MElightcyan	1.1712637445053e-06	0.983201574320032	0.983201574320032	Caudate
MElightgreen	0.00179298880512353	0.409842994102418	0.864961534418581	Caudate
MElightyellow	0.00111194466781928	0.51638586537832	0.864961534418581	Caudate
MEmagenta	0.00127440859877483	0.487214600965374	0.864961534418581	Caudate
MEmidnightblue	0.00288920908692508	0.295332997988124	0.864961534418581	Caudate
MEorange	0.0013574660812181	0.473347640903929	0.864961534418581	Caudate
MEpaleturquoise	0.000263315830987939	0.752216081674858	0.88654038197394	Caudate
MEpink	0.0034587579278679	0.252139389629939	0.864961534418581	Caudate
MEpurple	0.000846081745772218	0.57138068818679	0.864961534418581	Caudate
MEred	0.00120005503178827	0.500208492043686	0.864961534418581	Caudate
MEroyalblue	0.000341653340092756	0.719119410240325	0.88654038197394	Caudate
MEsaddlebrown	0.0172960859893948	0.0101757736927	0.3358005318591	Caudate
MEsalmon	0.000714977020507464	0.602851978534162	0.864961534418581	Caudate
MEskyblue	4.91793288146137e-05	0.891476419052588	0.9489910267334	Caudate
MEsteelblue	0.000803554415143334	0.581219117678939	0.864961534418581	Caudate
MEtan	0.000351449794273176	0.715293235181736	0.88654038197394	Caudate
MEturquoise	0.00712803573492993	0.0998694166469696	0.864961534418581	Caudate
MEviolet	0.000851067879527675	0.570248639812134	0.864961534418581	Caudate
MEwhite	0.00311473421574735	0.277199664906021	0.864961534418581	Caudate
MEyellow	0.00757686228208428	0.0897547180904853	0.864961534418581	Caudate
