medianRank.pres	medianRank.qual	Zsummary.pres	Zsummary.qual
black	19	14	79	83
blue	19	26	73	48
brown	29	24	46	69
cyan	14	11	56	61
darkgreen	18	12	37	50
darkgrey	5	9	49	39
darkorange	8	14	36	38
darkred	1	16.5	80	39
darkturquoise	12	10	57	49
gold	30	30	35	2.1
green	11	17	130	100
greenyellow	16	18	64	64
grey	31	31	15	-21
grey60	6	2	72	50
lightcyan	9	21	65	43
lightgreen	11	3.5	60	67
lightyellow	3	5	80	48
magenta	14	9	78	98
midnightblue	17	21.5	50	35
orange	10	8.5	38	36
pink	27	28	42	29
purple	4	20	95	57
red	26	26	59	54
royalblue	24	7	31	56
saddlebrown	3	1	40	31
salmon	23	26	43	32
skyblue	21	6.5	24	37
tan	25	19	43	62
turquoise	26	26	60	59
white	15	5	27	33
yellow	15	25.5	87	41
