Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	0.00562182154786954	-0.0918770837774897	0.314764805486713	4631.65008151234	4100.32089516866	9081.31472803613
2	0.585652390666432	-0.853024657025553	0.625908566281108	1811.73683689234	1012.67891737402	5610.63823209277
3	0.600573242617864	-0.828169346276033	0.856346635162978	1074.84936053994	319.150495233544	4659.31275406299
4	0.601343285406126	-0.760303619844411	0.936556339146991	772.401084374012	117.519640318353	4081.66209793096
5	0.627415270467477	-0.716347476981581	0.980690068124752	607.563775842383	47.7050212348635	3663.44499413101
6	0.643819030634883	-0.691955319536963	0.9836069972808	501.294782882889	21.0577641758658	3334.10606694082
7	0.68812450950382	-0.681313499467401	0.97365886286076	425.599522899332	9.84324771023799	3063.25154151587
8	0.726098177804734	-0.673175366731042	0.959683875366937	368.22861889402	4.75033914138817	2834.02569501062
9	0.758779054160468	-0.669810506748844	0.94322703743037	322.921987770246	2.40219239637205	2636.03829650212
10	0.787607313621054	-0.671357173697276	0.931637964617427	286.095672772225	1.249320197552	2462.40982754692
11	0.812026198014068	-0.670366191191551	0.921931798233444	255.518594805589	0.682079843447612	2308.33753176928
12	0.830561120789364	-0.672520535665944	0.912921394761341	229.711799949265	0.376727617554037	2170.32769415098
13	0.846760896089017	-0.678854424730866	0.902346996472012	207.646530890798	0.214965522126099	2046.91104480643
14	0.863045911847206	-0.686358334345404	0.897816711479184	188.579648899856	0.123378338913242	1935.19744393917
15	0.875895476298688	-0.690753077811587	0.893253861896429	171.957857034285	0.0732892873822111	1833.11635877314
16	0.886382539313344	-0.696879969444864	0.889251996262173	157.358908289042	0.0434296283693938	1739.3977927452
17	0.889559343614541	-0.703910842700094	0.878118491660499	144.453892619915	0.0259877754523152	1653.00549477981
18	0.891578637490233	-0.71189704049686	0.872191892932883	132.982139394239	0.0160008577830504	1573.08224426004
19	0.898016339562351	-0.719056528733573	0.875492944482582	122.733988200407	0.00993934716062617	1498.977464862
20	0.896202362677757	-0.731616171819624	0.868923419597247	113.538643022662	0.00616341132209031	1430.60238569713
21	0.895888225908593	-0.740931867872714	0.866792660101881	105.255411521199	0.00384596926688952	1366.83461029854
22	0.899828185112418	-0.749074002463637	0.871254430887852	97.7672585748839	0.00242001870658171	1307.22596777402
23	0.897593388175288	-0.759640661578132	0.868654613842294	90.9759788316155	0.0015278254833806	1251.38784994779
24	0.90038064171858	-0.766416480867135	0.872884155454809	84.7985251084635	0.000976143875691449	1198.98106582325
25	0.89871044686181	-0.775806747222796	0.872820917569129	79.1641769949516	0.000625694387568654	1149.70778972432
26	0.893377245623673	-0.789545302903545	0.868364670613571	74.0123301347082	0.000404317041968083	1103.30510163433
27	0.891656139416094	-0.797661480667025	0.86949766284804	69.2907507096939	0.000261208970902427	1059.53975346901
28	0.887440120123477	-0.806738212672416	0.867974883133509	64.9541831937387	0.000170743826833242	1018.20389006327
29	0.884007306114245	-0.816350495839199	0.867593218241922	60.9632295849902	0.000111689626569156	979.111521474756
30	0.882848521144327	-0.824547212700096	0.870191032810452	57.2834395396477	7.40578038636031e-05	942.095592280267
